"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2005-2010","Medium","76.725"
"Africa","2005-2010","Medium","68.137"
"Albania","2005-2010","Medium","16.756"
"Algeria","2005-2010","Medium","32.593"
"American Samoa","2005-2010","Medium",""
"Andorra","2005-2010","Medium",""
"Angola","2005-2010","Medium","83.783"
"Anguilla","2005-2010","Medium",""
"Antigua and Barbuda","2005-2010","Medium","10.014"
"Argentina","2005-2010","Medium","14.606"
"Armenia","2005-2010","Medium","21.004"
"Aruba","2005-2010","Medium","16.194"
"Asia","2005-2010","Medium","37.166"
"Australia","2005-2010","Medium","4.408"
"Australia/New Zealand","2005-2010","Medium","4.506"
"Austria","2005-2010","Medium","3.762"
"Azerbaijan","2005-2010","Medium","40.726"
"Bahamas","2005-2010","Medium","10.040"
"Bahrain","2005-2010","Medium","7.960"
"Bangladesh","2005-2010","Medium","43.300"
"Barbados","2005-2010","Medium","11.018"
"Belarus","2005-2010","Medium","6.269"
"Belgium","2005-2010","Medium","3.826"
"Belize","2005-2010","Medium","16.984"
"Benin","2005-2010","Medium","74.530"
"Bermuda","2005-2010","Medium",""
"Bhutan","2005-2010","Medium","39.509"
"Bolivia","2005-2010","Medium","51.005"
"Bosnia and Herzegovina","2005-2010","Medium","9.027"
"Botswana","2005-2010","Medium","46.456"
"Brazil","2005-2010","Medium","20.357"
"British Virgin Islands","2005-2010","Medium",""
"Brunei Darussalam","2005-2010","Medium","6.492"
"Bulgaria","2005-2010","Medium","9.527"
"Burkina Faso","2005-2010","Medium","77.555"
"Burundi","2005-2010","Medium","86.242"
"Cabo Verde","2005-2010","Medium","23.493"
"Cambodia","2005-2010","Medium","44.953"
"Cameroon","2005-2010","Medium","77.181"
"Canada","2005-2010","Medium","5.099"
"Caribbean","2005-2010","Medium","30.408"
"Caribbean Netherlands","2005-2010","Medium",""
"Cayman Islands","2005-2010","Medium",""
"Central African Republic","2005-2010","Medium","105.926"
"Central America","2005-2010","Medium","21.774"
"Central Asia","2005-2010","Medium","38.044"
"Chad","2005-2010","Medium","105.157"
"Channel Islands","2005-2010","Medium","8.687"
"Chile","2005-2010","Medium","7.825"
"China","2005-2010","Medium","16.735"
"China Hong Kong SAR","2005-2010","Medium","1.859"
"China Macao SAR","2005-2010","Medium","3.805"
"Other non-specified areas","2005-2010","Medium","5.163"
"Cô´te d'Ivoire","2005-2010","Medium","84.582"
"Colombia","2005-2010","Medium","19.043"
"Comoros","2005-2010","Medium","66.667"
"Congo","2005-2010","Medium","60.952"
"Cook Islands","2005-2010","Medium",""
"Costa Rica","2005-2010","Medium","10.023"
"Croatia","2005-2010","Medium","5.748"
"Cuba","2005-2010","Medium","5.686"
"Curaçao","2005-2010","Medium","13.015"
"Cyprus","2005-2010","Medium","4.353"
"Czechia","2005-2010","Medium","3.073"
"Dem. People's Republic of Korea","2005-2010","Medium","27.290"
"Democratic Republic of the Congo","2005-2010","Medium","83.858"
"Denmark","2005-2010","Medium","3.735"
"Djibouti","2005-2010","Medium","63.432"
"Dominica","2005-2010","Medium",""
"Dominican Republic","2005-2010","Medium","29.567"
"Eastern Africa","2005-2010","Medium","62.762"
"Eastern Asia","2005-2010","Medium","15.661"
"Eastern Europe","2005-2010","Medium","9.837"
"Ecuador","2005-2010","Medium","23.373"
"Egypt","2005-2010","Medium","23.464"
"El Salvador","2005-2010","Medium","20.724"
"Equatorial Guinea","2005-2010","Medium","80.410"
"Eritrea","2005-2010","Medium","51.667"
"Estonia","2005-2010","Medium","4.749"
"Ethiopia","2005-2010","Medium","59.870"
"Europe","2005-2010","Medium","6.493"
"Faeroe Islands","2005-2010","Medium",""
"Falkland Islands (Malvinas)","2005-2010","Medium",""
"Fiji","2005-2010","Medium","17.934"
"Finland","2005-2010","Medium","2.711"
"France","2005-2010","Medium","3.681"
"French Guiana","2005-2010","Medium","10.631"
"French Polynesia","2005-2010","Medium","8.771"
"Gabon","2005-2010","Medium","49.332"
"Gambia","2005-2010","Medium","52.383"
"Georgia","2005-2010","Medium","20.166"
"Germany","2005-2010","Medium","3.666"
"Ghana","2005-2010","Medium","55.350"
"Gibraltar","2005-2010","Medium",""
"Greece","2005-2010","Medium","3.483"
"Greenland","2005-2010","Medium",""
"Grenada","2005-2010","Medium","10.184"
"Guadeloupe","2005-2010","Medium","6.983"
"Guam","2005-2010","Medium","11.411"
"Guatemala","2005-2010","Medium","31.265"
"Guinea","2005-2010","Medium","77.693"
"Guinea-Bissau","2005-2010","Medium","91.100"
"Guyana","2005-2010","Medium","34.396"
"Haiti","2005-2010","Medium","52.212"
"High-income countries","2005-2010","Medium","5.519"
"Holy See","2005-2010","Medium",""
"Honduras","2005-2010","Medium","29.426"
"Hungary","2005-2010","Medium","5.657"
"Iceland","2005-2010","Medium","1.998"
"India","2005-2010","Medium","49.844"
"Indonesia","2005-2010","Medium","29.677"
"Iran (Islamic Republic of)","2005-2010","Medium","18.906"
"Iraq","2005-2010","Medium","33.277"
"Ireland","2005-2010","Medium","3.701"
"Isle of Man","2005-2010","Medium",""
"Israel","2005-2010","Medium","3.969"
"Italy","2005-2010","Medium","3.429"
"Jamaica","2005-2010","Medium","17.888"
"Japan","2005-2010","Medium","2.550"
"Jordan","2005-2010","Medium","19.683"
"Kazakhstan","2005-2010","Medium","23.861"
"Kenya","2005-2010","Medium","49.422"
"Kiribati","2005-2010","Medium","49.307"
"Kuwait","2005-2010","Medium","9.650"
"Kyrgyzstan","2005-2010","Medium","30.257"
"Lao People's Democratic Republic","2005-2010","Medium","56.724"
"Latin America and the Caribbean","2005-2010","Medium","21.445"
"Latvia","2005-2010","Medium","7.803"
"Least developed countries","2005-2010","Medium","65.748"
"Lebanon","2005-2010","Medium","10.597"
"Lesotho","2005-2010","Medium","74.069"
"Less developed regions","2005-2010","Medium","45.259"
"Less developed regions excluding China","2005-2010","Medium","49.883"
"Less developed regions excluding least developed countries","2005-2010","Medium","39.092"
"Liberia","2005-2010","Medium","71.786"
"Libya","2005-2010","Medium","24.274"
"Liechtenstein","2005-2010","Medium",""
"Lithuania","2005-2010","Medium","5.966"
"Low-income countries","2005-2010","Medium","70.004"
"Lower-middle-income countries","2005-2010","Medium","51.432"
"Luxembourg","2005-2010","Medium","2.323"
"Madagascar","2005-2010","Medium","45.499"
"Malawi","2005-2010","Medium","79.696"
"Malaysia","2005-2010","Medium","6.764"
"Maldives","2005-2010","Medium","14.781"
"Mali","2005-2010","Medium","89.117"
"Malta","2005-2010","Medium","5.759"
"Marshall Islands","2005-2010","Medium",""
"Martinique","2005-2010","Medium","7.584"
"Mauritania","2005-2010","Medium","72.409"
"Mauritius","2005-2010","Medium","13.212"
"Mayotte","2005-2010","Medium","5.635"
"Melanesia","2005-2010","Medium","47.309"
"Mexico","2005-2010","Medium","19.927"
"Micronesia","2005-2010","Medium","29.067"
"Micronesia (Fed. States of)","2005-2010","Medium","34.865"
"Middle Africa","2005-2010","Medium","84.628"
"Middle-income countries","2005-2010","Medium","40.178"
"Monaco","2005-2010","Medium",""
"Mongolia","2005-2010","Medium","30.511"
"Montenegro","2005-2010","Medium","10.890"
"Montserrat","2005-2010","Medium",""
"More developed regions","2005-2010","Medium","6.178"
"Morocco","2005-2010","Medium","33.154"
"Mozambique","2005-2010","Medium","78.065"
"Myanmar","2005-2010","Medium","52.222"
"Namibia","2005-2010","Medium","46.567"
"Nauru","2005-2010","Medium",""
"Nepal","2005-2010","Medium","41.284"
"Netherlands","2005-2010","Medium","4.107"
"New Caledonia","2005-2010","Medium","15.066"
"New Zealand","2005-2010","Medium","4.956"
"Nicaragua","2005-2010","Medium","24.010"
"Niger","2005-2010","Medium","74.750"
"Nigeria","2005-2010","Medium","89.916"
"Niue","2005-2010","Medium",""
"Northern Africa","2005-2010","Medium","33.323"
"Northern America","2005-2010","Medium","6.653"
"Northern Europe","2005-2010","Medium","4.394"
"Northern Mariana Islands","2005-2010","Medium",""
"Norway","2005-2010","Medium","3.002"
"Oceania","2005-2010","Medium","22.405"
"Oman","2005-2010","Medium","9.774"
"Pakistan","2005-2010","Medium","76.875"
"Palau","2005-2010","Medium",""
"Panama","2005-2010","Medium","16.831"
"Papua New Guinea","2005-2010","Medium","51.875"
"Paraguay","2005-2010","Medium","32.026"
"Peru","2005-2010","Medium","20.997"
"Philippines","2005-2010","Medium","24.995"
"Poland","2005-2010","Medium","5.655"
"Polynesia","2005-2010","Medium","17.628"
"Portugal","2005-2010","Medium","3.308"
"Puerto Rico","2005-2010","Medium","7.015"
"Qatar","2005-2010","Medium","7.774"
"Republic of Korea","2005-2010","Medium","3.507"
"Republic of Moldova","2005-2010","Medium","15.541"
"Réunion","2005-2010","Medium","5.635"
"Romania","2005-2010","Medium","11.968"
"Russian Federation","2005-2010","Medium","10.684"
"Rwanda","2005-2010","Medium","59.753"
"Saint Helena","2005-2010","Medium",""
"Saint Kitts and Nevis","2005-2010","Medium",""
"Saint Lucia","2005-2010","Medium","11.849"
"Saint Pierre and Miquelon","2005-2010","Medium",""
"Saint Vincent and the Grenadines","2005-2010","Medium","18.522"
"Samoa","2005-2010","Medium","21.323"
"San Marino","2005-2010","Medium",""
"Sao Tome and Principe","2005-2010","Medium","46.035"
"Saudi Arabia","2005-2010","Medium","14.713"
"Senegal","2005-2010","Medium","51.090"
"Serbia","2005-2010","Medium","12.445"
"Seychelles","2005-2010","Medium","10.173"
"Sierra Leone","2005-2010","Medium","116.905"
"Singapore","2005-2010","Medium","2.161"
"Sint Maarten (Dutch part)","2005-2010","Medium",""
"Slovakia","2005-2010","Medium","6.195"
"Slovenia","2005-2010","Medium","3.197"
"Solomon Islands","2005-2010","Medium","38.715"
"Somalia","2005-2010","Medium","89.765"
"South Africa","2005-2010","Medium","52.672"
"South America","2005-2010","Medium","20.287"
"South Sudan","2005-2010","Medium","89.096"
"South-Central Asia","2005-2010","Medium","51.422"
"South-Eastern Asia","2005-2010","Medium","28.557"
"Southern Africa","2005-2010","Medium","53.697"
"Southern Asia","2005-2010","Medium","51.908"
"Southern Europe","2005-2010","Medium","4.651"
"Spain","2005-2010","Medium","3.374"
"Sri Lanka","2005-2010","Medium","10.055"
"State of Palestine","2005-2010","Medium","22.335"
"Sub-Saharan Africa","2005-2010","Medium","73.669"
"Sudan","2005-2010","Medium","53.686"
"Suriname","2005-2010","Medium","22.150"
"Swaziland","2005-2010","Medium","75.788"
"Sweden","2005-2010","Medium","2.569"
"Switzerland","2005-2010","Medium","4.214"
"Syrian Arab Republic","2005-2010","Medium","14.962"
"Tajikistan","2005-2010","Medium","48.927"
"TFYR Macedonia","2005-2010","Medium","10.752"
"Thailand","2005-2010","Medium","13.401"
"Timor-Leste","2005-2010","Medium","50.150"
"Togo","2005-2010","Medium","63.208"
"Tokelau","2005-2010","Medium",""
"Tonga","2005-2010","Medium","22.030"
"Trinidad and Tobago","2005-2010","Medium","26.568"
"Tunisia","2005-2010","Medium","18.695"
"Turkey","2005-2010","Medium","16.378"
"Turkmenistan","2005-2010","Medium","54.213"
"Turks and Caicos Islands","2005-2010","Medium",""
"Tuvalu","2005-2010","Medium",""
"Uganda","2005-2010","Medium","68.217"
"Ukraine","2005-2010","Medium","12.635"
"United Arab Emirates","2005-2010","Medium","6.882"
"United Kingdom","2005-2010","Medium","4.827"
"United Republic of Tanzania","2005-2010","Medium","52.416"
"United States of America","2005-2010","Medium","6.786"
"United States Virgin Islands","2005-2010","Medium","10.683"
"Upper-middle-income countries","2005-2010","Medium","19.397"
"Uruguay","2005-2010","Medium","13.436"
"Uzbekistan","2005-2010","Medium","40.749"
"Vanuatu","2005-2010","Medium","28.645"
"Venezuela (Bolivarian Republic of)","2005-2010","Medium","15.893"
"Viet Nam","2005-2010","Medium","22.175"
"Wallis and Futuna Islands","2005-2010","Medium",""
"Western Africa","2005-2010","Medium","82.670"
"Western Asia","2005-2010","Medium","24.982"
"Western Europe","2005-2010","Medium","3.748"
"Western Sahara","2005-2010","Medium","43.071"
"World","2005-2010","Medium","41.298"
"Yemen","2005-2010","Medium","52.994"
"Zambia","2005-2010","Medium","65.174"
"Zimbabwe","2005-2010","Medium","58.314"

