GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US72001,72001,"Adjuntas Municipio, Puerto Rico",19483,19483,19472,19297,19116,19019,18798,18560,18276,17971
0500000US72003,72003,"Aguada Municipio, Puerto Rico",41959,41959,41913,41532,41107,40707,40135,39539,38853,38118
0500000US72005,72005,"Aguadilla Municipio, Puerto Rico",60949,60949,60766,59976,58978,58036,57078,55808,54525,53164
0500000US72007,72007,"Aguas Buenas Municipio, Puerto Rico",28659,28659,28652,28333,28052,27782,27350,26913,26382,25850
0500000US72009,72009,"Aibonito Municipio, Puerto Rico",25900,25900,25874,25537,25205,24879,24448,24040,23566,23108
0500000US72011,72011,"Añasco Municipio, Puerto Rico",29261,29261,29265,29094,28851,28619,28317,27942,27521,27059
0500000US72013,72013,"Arecibo Municipio, Puerto Rico",96440,96440,96222,95009,93841,92954,91240,89628,87864,86066
0500000US72015,72015,"Arroyo Municipio, Puerto Rico",19575,19575,19573,19432,19245,19069,18817,18533,18220,17881
0500000US72017,72017,"Barceloneta Municipio, Puerto Rico",24816,24816,24827,24820,24808,24834,24778,24621,24440,24240
0500000US72019,72019,"Barranquitas Municipio, Puerto Rico",30318,30318,30324,30191,30017,29869,29591,29291,28924,28511
0500000US72021,72021,"Bayamón Municipio, Puerto Rico",208116,208105,207646,204462,201004,197479,193075,188740,184213,179565
0500000US72023,72023,"Cabo Rojo Municipio, Puerto Rico",50917,50917,50971,50802,50653,50542,50159,49773,49333,48824
0500000US72025,72025,"Caguas Municipio, Puerto Rico",142893,142917,142863,141506,140111,138674,136607,134383,132079,129604
0500000US72027,72027,"Camuy Municipio, Puerto Rico",35159,35159,35124,34776,34395,34056,33531,33005,32354,31732
0500000US72029,72029,"Canóvanas Municipio, Puerto Rico",47648,47639,47685,47661,47649,47544,47280,46887,46362,45823
0500000US72031,72031,"Carolina Municipio, Puerto Rico",176762,176769,176432,173852,171140,168517,165316,161870,158227,154489
0500000US72033,72033,"Cataño Municipio, Puerto Rico",28140,28140,28084,27634,27186,26772,26226,25603,24998,24374
0500000US72035,72035,"Cayey Municipio, Puerto Rico",48119,48119,48111,47671,47226,46767,46126,45466,44767,44027
0500000US72037,72037,"Ceiba Municipio, Puerto Rico",13631,13631,13611,13353,13090,12872,12552,12243,11920,11602
0500000US72039,72039,"Ciales Municipio, Puerto Rico",18782,18782,18753,18467,18205,17978,17682,17345,16993,16627
0500000US72041,72041,"Cidra Municipio, Puerto Rico",43480,43480,43483,43167,42780,42460,41857,41225,40551,39813
0500000US72043,72043,"Coamo Municipio, Puerto Rico",40512,40512,40576,40569,40470,40412,40161,39875,39459,39071
0500000US72045,72045,"Comerío Municipio, Puerto Rico",20778,20778,20791,20630,20499,20400,20207,19967,19654,19343
0500000US72047,72047,"Corozal Municipio, Puerto Rico",37142,37142,37130,36785,36425,36063,35551,34989,34370,33694
0500000US72049,72049,"Culebra Municipio, Puerto Rico",1818,1818,1820,1811,1812,1814,1810,1803,1789,1769
0500000US72051,72051,"Dorado Municipio, Puerto Rico",38165,38165,38239,38271,38237,38251,38083,37807,37441,37026
0500000US72053,72053,"Fajardo Municipio, Puerto Rico",36993,36993,36875,36222,35515,34836,33934,33071,32208,31324
0500000US72054,72054,"Florida Municipio, Puerto Rico",12680,12680,12688,12590,12514,12442,12335,12169,11980,11775
0500000US72055,72055,"Guánica Municipio, Puerto Rico",19427,19427,19376,18975,18624,18240,17809,17361,16864,16363
0500000US72057,72057,"Guayama Municipio, Puerto Rico",45362,45362,45277,44434,43987,43896,43286,42655,41998,41281
0500000US72059,72059,"Guayanilla Municipio, Puerto Rico",21581,21581,21523,21184,20833,20513,20071,19588,19109,18611
0500000US72061,72061,"Guaynabo Municipio, Puerto Rico",97924,97921,97796,96619,95308,94124,92413,90859,89142,87328
0500000US72063,72063,"Gurabo Municipio, Puerto Rico",45369,45371,45561,46041,46456,46876,47042,47181,47163,47109
0500000US72065,72065,"Hatillo Municipio, Puerto Rico",41953,41953,41979,41905,41778,41722,41411,41047,40598,40111
0500000US72067,72067,"Hormigueros Municipio, Puerto Rico",17250,17250,17250,17162,17028,16885,16702,16493,16260,16032
0500000US72069,72069,"Humacao Municipio, Puerto Rico",58466,58466,58375,57787,57131,56531,55724,54849,53805,52771
0500000US72071,72071,"Isabela Municipio, Puerto Rico",45631,45655,45654,45324,44921,44558,44000,43363,42700,41949
0500000US72073,72073,"Jayuya Municipio, Puerto Rico",16642,16642,16641,16419,16163,15927,15654,15305,14976,14625
0500000US72075,72075,"Juana Díaz Municipio, Puerto Rico",50747,50747,50736,50273,49798,49362,48721,48023,47252,46400
0500000US72077,72077,"Juncos Municipio, Puerto Rico",40290,40290,40349,40295,40242,40256,39961,39751,39453,39101
0500000US72079,72079,"Lajas Municipio, Puerto Rico",25753,25753,25704,25386,25118,24792,24392,23918,23435,22929
0500000US72081,72081,"Lares Municipio, Puerto Rico",30753,30753,30631,30004,29369,28793,28106,27370,26564,25772
0500000US72083,72083,"Las Marías Municipio, Puerto Rico",9881,9881,9869,9679,9501,9340,9105,8875,8646,8402
0500000US72085,72085,"Las Piedras Municipio, Puerto Rico",38675,38675,38714,38768,38731,38718,38557,38302,38027,37659
0500000US72087,72087,"Loíza Municipio, Puerto Rico",30060,30060,30017,29525,29015,28548,27929,27230,26577,25926
0500000US72089,72089,"Luquillo Municipio, Puerto Rico",20068,20068,20055,19907,19736,19532,19294,18977,18646,18311
0500000US72091,72091,"Manatí Municipio, Puerto Rico",44113,44113,44041,43471,42863,42295,41508,40709,39911,39103
0500000US72093,72093,"Maricao Municipio, Puerto Rico",6276,6276,6277,6204,6130,6080,5988,5880,5774,5665
0500000US72095,72095,"Maunabo Municipio, Puerto Rico",12225,12243,12233,12066,11907,11752,11544,11313,11068,10808
0500000US72097,72097,"Mayagüez Municipio, Puerto Rico",89080,89080,88793,87059,85299,83685,81613,79640,77613,75525
0500000US72099,72099,"Moca Municipio, Puerto Rico",40109,40109,40100,39743,39343,38931,38332,37736,37055,36328
0500000US72101,72101,"Morovis Municipio, Puerto Rico",32610,32610,32651,32587,32485,32372,32125,31849,31487,31092
0500000US72103,72103,"Naguabo Municipio, Puerto Rico",26720,26720,26774,26839,26868,26898,26788,26629,26428,26177
0500000US72105,72105,"Naranjito Municipio, Puerto Rico",30402,30402,30387,30192,30023,29831,29521,29156,28746,28306
0500000US72107,72107,"Orocovis Municipio, Puerto Rico",23423,23423,23421,23158,22888,22661,22312,21929,21519,21109
0500000US72109,72109,"Patillas Municipio, Puerto Rico",19277,19259,19230,18961,18707,18480,18159,17792,17412,17004
0500000US72111,72111,"Peñuelas Municipio, Puerto Rico",24282,24282,24214,23759,23269,22806,22270,21705,21075,20447
0500000US72113,72113,"Ponce Municipio, Puerto Rico",166327,166327,165723,162637,159338,156414,152992,149050,144999,140859
0500000US72115,72115,"Quebradillas Municipio, Puerto Rico",25919,25919,25895,25695,25491,25288,24950,24595,24171,23734
0500000US72117,72117,"Rincón Municipio, Puerto Rico",15200,15200,15203,15094,14980,14868,14726,14561,14347,14128
0500000US72119,72119,"Río Grande Municipio, Puerto Rico",54304,54319,54295,53882,53705,53354,52606,51777,50976,50128
0500000US72121,72121,"Sabana Grande Municipio, Puerto Rico",25265,25361,25344,25052,24723,24476,24096,23619,23171,22690
0500000US72123,72123,"Salinas Municipio, Puerto Rico",31078,31078,31042,30761,30411,30176,29740,29286,28777,28216
0500000US72125,72125,"San Germán Municipio, Puerto Rico",35527,35691,35626,35193,34721,34164,33580,32964,32325,31654
0500000US72127,72127,"San Juan Municipio, Puerto Rico",395326,395484,394244,386865,379518,372442,364089,355553,346534,337288
0500000US72129,72129,"San Lorenzo Municipio, Puerto Rico",41058,41036,41023,40640,40264,39919,39325,38741,38082,37379
0500000US72131,72131,"San Sebastián Municipio, Puerto Rico",42430,42430,42347,41762,41176,40595,39803,39002,38142,37306
0500000US72133,72133,"Santa Isabel Municipio, Puerto Rico",23274,23274,23290,23200,23095,23006,22762,22525,22217,21863
0500000US72135,72135,"Toa Alta Municipio, Puerto Rico",74066,74070,74282,74536,74673,74821,74607,74349,73849,73217
0500000US72137,72137,"Toa Baja Municipio, Puerto Rico",89609,89616,89467,88087,86741,85508,83841,81994,80088,78092
0500000US72139,72139,"Trujillo Alto Municipio, Puerto Rico",74842,74850,74769,73899,73024,72105,70850,69594,68165,66675
0500000US72141,72141,"Utuado Municipio, Puerto Rico",33149,33149,33056,32575,32040,31556,30937,30254,29508,28791
0500000US72143,72143,"Vega Alta Municipio, Puerto Rico",39951,39951,39946,39811,39628,39501,39074,38666,38140,37566
0500000US72145,72145,"Vega Baja Municipio, Puerto Rico",59662,59662,59548,58668,57843,57039,55916,54777,53602,52436
0500000US72147,72147,"Vieques Municipio, Puerto Rico",9301,9301,9305,9236,9215,9165,9067,8946,8806,8669
0500000US72149,72149,"Villalba Municipio, Puerto Rico",26073,26073,26003,25547,25138,24745,24265,23672,23085,22528
0500000US72151,72151,"Yabucoa Municipio, Puerto Rico",37941,37941,37881,37367,36848,36378,35718,35070,34332,33629
0500000US72153,72153,"Yauco Municipio, Puerto Rico",42043,41947,41838,41049,40264,39506,38549,37601,36632,35635
